"DateKey","FullDateAlternateKey","DayNumberOfWeek","EnglishDayNameOfWeek","SpanishDayNameOfWeek","FrenchDayNameOfWeek","DayNumberOfMonth","DayNumberOfYear","WeekNumberOfYear","EnglishMonthName","SpanishMonthName","FrenchMonthName","MonthNumberOfYear","CalendarQuarter","CalendarYear","CalendarSemester","FiscalQuarter","FiscalYear","FiscalSemester"
"20050101","2005-01-01","7","Saturday","Sábado","Samedi","1","1","1","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050102","2005-01-02","1","Sunday","Domingo","Dimanche","2","2","2","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050103","2005-01-03","2","Monday","Lunes","Lundi","3","3","2","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050104","2005-01-04","3","Tuesday","Martes","Mardi","4","4","2","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050105","2005-01-05","4","Wednesday","Miércoles","Mercredi","5","5","2","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050106","2005-01-06","5","Thursday","Jueves","Jeudi","6","6","2","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050107","2005-01-07","6","Friday","Viernes","Vendredi","7","7","2","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050108","2005-01-08","7","Saturday","Sábado","Samedi","8","8","2","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050109","2005-01-09","1","Sunday","Domingo","Dimanche","9","9","3","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050110","2005-01-10","2","Monday","Lunes","Lundi","10","10","3","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050111","2005-01-11","3","Tuesday","Martes","Mardi","11","11","3","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050112","2005-01-12","4","Wednesday","Miércoles","Mercredi","12","12","3","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050113","2005-01-13","5","Thursday","Jueves","Jeudi","13","13","3","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050114","2005-01-14","6","Friday","Viernes","Vendredi","14","14","3","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050115","2005-01-15","7","Saturday","Sábado","Samedi","15","15","3","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050116","2005-01-16","1","Sunday","Domingo","Dimanche","16","16","4","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050117","2005-01-17","2","Monday","Lunes","Lundi","17","17","4","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050118","2005-01-18","3","Tuesday","Martes","Mardi","18","18","4","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050119","2005-01-19","4","Wednesday","Miércoles","Mercredi","19","19","4","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050120","2005-01-20","5","Thursday","Jueves","Jeudi","20","20","4","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050121","2005-01-21","6","Friday","Viernes","Vendredi","21","21","4","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050122","2005-01-22","7","Saturday","Sábado","Samedi","22","22","4","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050123","2005-01-23","1","Sunday","Domingo","Dimanche","23","23","5","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050124","2005-01-24","2","Monday","Lunes","Lundi","24","24","5","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050125","2005-01-25","3","Tuesday","Martes","Mardi","25","25","5","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050126","2005-01-26","4","Wednesday","Miércoles","Mercredi","26","26","5","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050127","2005-01-27","5","Thursday","Jueves","Jeudi","27","27","5","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050128","2005-01-28","6","Friday","Viernes","Vendredi","28","28","5","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050129","2005-01-29","7","Saturday","Sábado","Samedi","29","29","5","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050130","2005-01-30","1","Sunday","Domingo","Dimanche","30","30","6","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050131","2005-01-31","2","Monday","Lunes","Lundi","31","31","6","January","Enero","Janvier","1","1","2005","1","3","2005","2"
"20050201","2005-02-01","3","Tuesday","Martes","Mardi","1","32","6","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050202","2005-02-02","4","Wednesday","Miércoles","Mercredi","2","33","6","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050203","2005-02-03","5","Thursday","Jueves","Jeudi","3","34","6","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050204","2005-02-04","6","Friday","Viernes","Vendredi","4","35","6","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050205","2005-02-05","7","Saturday","Sábado","Samedi","5","36","6","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050206","2005-02-06","1","Sunday","Domingo","Dimanche","6","37","7","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050207","2005-02-07","2","Monday","Lunes","Lundi","7","38","7","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050208","2005-02-08","3","Tuesday","Martes","Mardi","8","39","7","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050209","2005-02-09","4","Wednesday","Miércoles","Mercredi","9","40","7","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050210","2005-02-10","5","Thursday","Jueves","Jeudi","10","41","7","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050211","2005-02-11","6","Friday","Viernes","Vendredi","11","42","7","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050212","2005-02-12","7","Saturday","Sábado","Samedi","12","43","7","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050213","2005-02-13","1","Sunday","Domingo","Dimanche","13","44","8","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050214","2005-02-14","2","Monday","Lunes","Lundi","14","45","8","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050215","2005-02-15","3","Tuesday","Martes","Mardi","15","46","8","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050216","2005-02-16","4","Wednesday","Miércoles","Mercredi","16","47","8","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050217","2005-02-17","5","Thursday","Jueves","Jeudi","17","48","8","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050218","2005-02-18","6","Friday","Viernes","Vendredi","18","49","8","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050219","2005-02-19","7","Saturday","Sábado","Samedi","19","50","8","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050220","2005-02-20","1","Sunday","Domingo","Dimanche","20","51","9","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050221","2005-02-21","2","Monday","Lunes","Lundi","21","52","9","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050222","2005-02-22","3","Tuesday","Martes","Mardi","22","53","9","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050223","2005-02-23","4","Wednesday","Miércoles","Mercredi","23","54","9","February","Febrero","Février","2","1","2005","1","3","2005","2"
"20050224","2005-02-24","5","Thursday","Jueves","Jeudi","24","55","9","February","Febrero","Février","2","1","2005","1","3","2005","2"
